iter	Passed	Remaining
678	13161	6221
679	13180	6202
680	13200	6183
681	13219	6163
682	13238	6144
683	13256	6124
684	13273	6103
685	13291	6083
686	13310	6064
687	13328	6044
688	13346	6024
689	13363	6004
690	13381	5984
691	13399	5964
692	13417	5943
693	13435	5923
694	13452	5903
695	13469	5883
696	13487	5863
697	13504	5843
698	13522	5823
699	13541	5803
700	13559	5783
701	13577	5763
702	13595	5743
703	13613	5723
704	13631	5704
705	13650	5684
706	13669	5664
707	13687	5644
708	13715	5629
709	13735	5610
710	13756	5591
711	13776	5572
712	13798	5554
713	13821	5536
714	13842	5517
715	13862	5498
716	13883	5479
717	13902	5460
718	13920	5440
719	13938	5420
720	13957	5401
721	13977	5381
722	13995	5362
723	14015	5342
724	14034	5323
725	14052	5303
726	14071	5284
727	14089	5264
728	14107	5244
729	14125	5224
730	14143	5204
731	14160	5184
732	14179	5164
733	14198	5145
734	14216	5125
735	14234	5105
736	14252	5086
737	14271	5066
738	14289	5046
739	14307	5026
740	14325	5007
741	14344	4987
742	14361	4967
743	14379	4947
744	14396	4927
745	14415	4908
746	14433	4888
747	14451	4868
748	14469	4849
749	14488	4829
750	14506	4809
751	14524	4790
752	14543	4770
753	14561	4750
754	14579	4730
755	14597	4711
756	14616	4691
757	14634	4672
758	14651	4652
759	14670	4632
760	14690	4613
761	14708	4594
762	14726	4574
763	14744	4554
764	14762	4534
765	14781	4515
766	14802	4496
767	14821	4477
768	14841	4458
769	14861	4439
770	14887	4421
771	14913	4404
772	14937	4386
773	14960	4368
774	14978	4348
775	14996	4329
776	15016	4309
777	15034	4290
778	15052	4270
779	15074	4251
780	15099	4234
781	15126	4216
782	15149	4198
783	15172	4180
784	15193	4161
785	15211	4141
786	15230	4121
787	15248	4102
788	15267	4082
789	15285	4063
790	15305	4044
791	15324	4024
792	15342	4004
793	15362	3985
794	15386	3967
795	15418	3951
796	15439	3932
797	15460	3913
798	15481	3894
799	15503	3875
800	15525	3857
801	15545	3837
802	15563	3818
803	15582	3798
804	15602	3779
805	15621	3759
806	15638	3740
807	15656	3720
808	15675	3700
809	15695	3681
810	15716	3662
811	15736	3643
812	15755	3623
813	15773	3604
814	15790	3584
815	15809	3564
816	15827	3545
817	15848	3526
818	15866	3506
819	15885	3487
820	15903	3467
821	15922	3447
822	15940	3428
823	15958	3408
